,regnumber,regdate,shortcontent,formnamesed,actkind,acttheme
1745,44-ПК,09.03.2022,"О внесении изменений в Закон Пермского края ""Об архивном деле в Пермском крае""",Подготовка аннотации - Щербинина Екатерина Владимировна - 811978,Закон,12.03.04.     Архивы
1746,577-ПК,04.12.2015,"О внесении изменений в Закон Пермского края ""О наделении органов местного самоуправления муниципальных районов и городских округов государственными полномочиями по хранению, комплектованию, учету и использованию архивных документов государственной части документов архивного фонда Пермского края""",Закон 6920-15 от 2015-08-31,Закон,12.03.04.     Архивы
1747,307-ПК,14.12.2018,"О внесении изменений в Закон Пермского края ""О наделении органов местного самоуправления муниципальных районов и городских округов государственными полномочиями по хранению, комплектованию, учету и использованию архивных документов государственной части документов архивного фонда Пермского края"" и признании утратившим силу Закона Пермского края ""О порядке хранения архивных документов государственной части документов архивного фонда Пермского края, относящихся к собственности Пермского края и находящихся на территории муниципальных образований, хранящихся в муниципальных архивах""",Закон 7587-18 от 2018-10-09,Закон,12.03.04.     Архивы
1748,361-ПК,02.09.2014,"О внесении изменения в Закон Пермского края ""О наделении органов местного самоуправления муниципальных районов и городских округов государственными полномочиями по хранению, комплектованию, учету и использованию архивных документов государственной части документов архивного фонда Пермского края""",Закон 3037-14 от 2014-05-06,Закон,12.03.04.     Архивы
1749,210-ПК,10.04.2018,Об архивном деле в Пермском крае,Подготовка аннотации - Толмачева Марина Викторовна - 505241,Закон,12.03.04.     Архивы
1750,683-ПК,08.09.2021,О внесении изменений в отдельные законы Пермского края в сфере архивного дела,Подготовка аннотации - Щербинина Екатерина Владимировна - 802179,Закон,12.03.04.     Архивы
1751,188-ПК,05.02.2018,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Подготовка аннотации - Вернер Мария Владимировна - 492324,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1752,424,17.08.2017,"О внесении изменения в постановление Законодательного Собрания Пермского края от 22.02.2007 № 79 ""Об утверждении Положения о помощнике депутата Законодательного Собрания Пермского края""",Постановление №6034-17 от 2017-08-07,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1753,1243,17.04.2014,О протесте прокурора Пермского края,Постановление №2134-14 от 2014-04-04,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1754,333-ПК,31.01.2019,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Подготовка аннотации - Вернер Мария Владимировна - 587382,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1755,1010,25.10.2018,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Шицына А.Б.,Постановление №8104-18 от 2018-10-22,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1756,1128,24.01.2019,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Борисова А.В.,Постановление №479-19 от 2019-01-24,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1757,1443,19.09.2019,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Шалаева А.П.,Постановление №6889-19 от 2019-09-18,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1758,1517,24.10.2019,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Подкорытова В.Ю.,Постановление №7868-19 от 2019-10-22,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1759,,,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Закон 8316-13 от 2013-12-09,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1760,2106,20.05.2021,О протесте прокурора Пермского края,Постановление №3367-21 от 2021-05-18,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1761,74-ПК,22.02.2017,"О внесении изменения в статью 17 Закона Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Закон 1150-17 от 2017-02-16,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1762,378-ПК,30.09.2014,"О внесении изменения в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Закон 4033-14 от 2014-06-10,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1763,,,"О порядке рассмотрения вопросов, связанных с нарушением депутатской этики",Постановление №2860-14 от 2014-04-28,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1764,1444,19.09.2019,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Заворохина Е.А.,Постановление №6890-19 от 2019-09-18,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1765,66,28.10.2021,"О создании комиссии по контролю за достоверностью сведений о доходах, расходах, об имуществе и обязательствах имущественного характера депутата Законодательного Собрания, его супруги (супруга) и несовершеннолетних детей",Постановление №6954-21 от 2021-10-25,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1766,493-ПК,01.06.2015,"О внесении изменения в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Закон 1527-15 от 2015-02-26,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1767,420-ПК,22.12.2014,"О внесении изменения в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Закон 7124-14 от 2014-10-07,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1768,7,06.10.2016,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Пушкова А.К.,Постановление №7373-16 от 2016-10-03,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1769,620-ПК,20.02.2016,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Подготовка аннотации - Вернер Мария Владимировна - 307541,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1770,2302,21.04.2016,"Об основаниях и порядке сообщения депутатом Законодательного Собрания Пермского края о возникновении личной заинтересованности при осуществлении своих полномочий, которая приводит или может привести к конфликту интересов",Постановление №1346-16 от 2016-02-18,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1771,2253,17.03.2016,О досрочном прекращении полномочий депутата Законодательного Собрания  Пермского края Митрофанова С.В.,Постановление №2049-16 от 2016-03-17,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1772,2276,21.04.2016,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Чулошникова В.В.,Постановление №3253-16 от 2016-04-21,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1773,2493,25.08.2016,О досрочном прекращении полномочий депутата Законодательного Собрания Пермского края Телепнева Александра Александровича,Постановление №6291-16 от 2016-08-15,Постановление,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1774,285-ПК,01.11.2018,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Подготовка аннотации - Вернер Мария Владимировна - 559594,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1775,213-ПК,03.04.2018,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Подготовка аннотации - Вернер Мария Владимировна - 504882,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1776,329-ПК,07.06.2014,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Закон 578-14 от 2014-02-03,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1777,654-ПК,07.06.2021,"О внесении изменений в Закон Пермского края ""О статусе депутата Законодательного Собрания Пермского края""",Подготовка аннотации - Вернер Мария Владимировна - 773962,Закон,01.16.03.     Статус депутата органа законодательной (представительной) власти субъекта
1778,457,24.11.2022,Об утверждении членов Общественной палаты Пермского края от Законодательного Собрания Пермского края,,Постановление,01.17.   Общественные и религиозные объединения
1779,400,20.10.2022,Об утверждении персонального состава Комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,,Постановление,01.17.   Общественные и религиозные объединения
1780,399,20.10.2022,О начале процедуры формирования Общественной палаты Пермского края шестого состава,,Постановление,01.17.   Общественные и религиозные объединения
1781,363,22.09.2022,"О внесении изменений в постановление Законодательного Собрания Пермского края от 22.08.2019 № 1429 ""О порядке утверждения Законодательным Собранием Пермского края членов Общественной палаты Пермского края""",,Постановление,01.17.   Общественные и религиозные объединения
1782,1882,25.06.2015,О формировании Молодежного парламента при Законодательном Собрании Пермского края и о внесении изменений в постановление Законодательного Собрания Пермского края от 23.05.2013 № 796,Постановление №4516-15 от 2015-05-26,Постановление,01.17.   Общественные и религиозные объединения
1783,157-ПК,07.12.2017,"О внесении изменений в Закон Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Закон 6307-17 от 2017-08-14,Закон,01.17.   Общественные и религиозные объединения
1784,,,Об общественном контроле в Пермском крае,Закон 7652-16 от 2016-10-11,Закон,01.17.   Общественные и религиозные объединения
1785,423,17.08.2017,О поручении комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,Постановление №6031-17 от 2017-08-07,Постановление,01.17.   Общественные и религиозные объединения
1786,1272,22.05.2014,О представителях Законодательного Собрания Пермского края в состав общественного совета при Министерстве территориального развития Пермского края,Постановление №3105-14 от 2014-05-12,Постановление,01.17.   Общественные и религиозные объединения
1787,602,30.11.2017,О назначении члена Общественной палаты Пермского края от Законодательного Собрания Пермского края,Постановление №9677-17 от 2017-11-29,Постановление,01.17.   Общественные и религиозные объединения
1788,522-ПК,08.09.2015,"О внесении изменений в Закон Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Закон 4126-15 от 2015-05-15,Закон,01.17.   Общественные и религиозные объединения
1789,1429,22.08.2019,О порядке утверждения Законодательным Собранием Пермского края членов Общественной палаты Пермского края,Постановление №5719-19 от 2019-08-12,Постановление,01.17.   Общественные и религиозные объединения
1790,1468,19.09.2019,О начале процедуры формирования Общественной палаты Пермского края пятого состава,Постановление №6432-19 от 2019-09-05,Постановление,01.17.   Общественные и религиозные объединения
1791,1574,28.11.2019,Об утверждении членов Общественной палаты Пермского края от Законодательного Собрания Пермского края,Постановление №8824-19 от 2019-11-27,Постановление,01.17.   Общественные и религиозные объединения
1792,1068,21.11.2013,О создании комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,Постановление №7275-13 от 2013-11-11,Постановление,01.17.   Общественные и религиозные объединения
1793,26,07.10.2021,О начале процедуры замещения вакантных мест в Общественной палате Пермского края пятого состава,Постановление №6137-21 от 2021-10-04,Постановление,01.17.   Общественные и религиозные объединения
1794,1783,27.08.2020,О начале процедуры замещения вакантного места в Общественной палате Пермского края пятого состава,Постановление №3925-20 от 2020-08-14,Постановление,01.17.   Общественные и религиозные объединения
1795,1469,19.09.2019,Об утверждении персонального состава Комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,Постановление №6431-19 от 2019-09-05,Постановление,01.17.   Общественные и религиозные объединения
1796,975,25.10.2013,Об утверждении Положения о Молодежном кадровом резерве Пермского края,Постановление №5189-13 от 2013-08-19,Постановление,01.17.   Общественные и религиозные объединения
1797,1338,19.06.2014,"О внесении изменения в постановление Законодательного Собрания Пермского края от 23.03.2014 № 1209 ""О проекте закона Пермского края ""О развитии добровольчества (волонтерства) в Пермском крае"" (первое чтение)""",Постановление №3540-14 от 2014-05-26,Постановление,01.17.   Общественные и религиозные объединения
1798,1515,24.10.2019,О продлении срока приема предложений по кандидатурам в члены Общественной палаты Пермского края от Законодательного Собрания Пермского края,Постановление №7867-19 от 2019-10-22,Постановление,01.17.   Общественные и религиозные объединения
1799,,,"О внесении изменений в постановление Законодательного Собрания Пермского края от 21.02.2013 № 697 ""Об утверждении Положения о Молодежном парламенте при Законодательном Собрании Пермского края""",Постановление №8657-13 от 2013-12-23,Постановление,01.17.   Общественные и религиозные объединения
1800,,,"О внесении изменений в Закон Пермского края ""Об Общественной палате Пермского края""",Закон 6790-14 от 2014-09-18,Закон,01.17.   Общественные и религиозные объединения
1801,1643,22.01.2015,О заслушивании информации об итогах деятельности Молодежного парламента Пермского края за 2014 год,Постановление №6939-14 от 2014-09-29,Постановление,01.17.   Общественные и религиозные объединения
1802,1534,20.11.2014,О поручении комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,Постановление №8123-14 от 2014-11-10,Постановление,01.17.   Общественные и религиозные объединения
1803,,,"О внесении изменений в Закон Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Закон 3064-15 от 2015-04-09,Закон,01.17.   Общественные и религиозные объединения
1804,,,"О внесении изменений в Закон Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Закон 2665-15 от 2015-03-26,Закон,01.17.   Общественные и религиозные объединения
1805,101,17.11.2016,О создании комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,Постановление №8644-16 от 2016-11-07,Постановление,01.17.   Общественные и религиозные объединения
1806,1724,19.03.2015,О внесении изменений в отдельные постановления Законодательного Собрания Пермского края,Постановление №1378-15 от 2015-02-20,Постановление,01.17.   Общественные и религиозные объединения
1807,241,16.02.2017,О поручении комиссии по определению кандидатур в Общественную палату Пермского края от Законодательного Собрания Пермского края,Постановление №972-17 от 2017-02-09,Постановление,01.17.   Общественные и религиозные объединения
1808,273,16.03.2017,"О внесении изменения в постановление Законодательного Собрания Пермского края от 19.06.2014 № 1317 ""О Соглашении о сотрудничестве Законодательного Собрания Пермского края и Общественной палаты Пермского края""",Постановление №1605-17 от 2017-03-06,Постановление,01.17.   Общественные и религиозные объединения
1809,2096,20.05.2021,О начале процедуры замещения вакантного места в Общественной палате Пермского края пятого состава,Постановление №3204-21 от 2021-05-13,Постановление,01.17.   Общественные и религиозные объединения
1810,539-ПК,19.06.2020,"О внесении изменений в Закон Пермского края ""Об Общественной палате Пермского края""",Закон 835-20 от 2020-02-10,Закон,01.17.   Общественные и религиозные объединения
1811,2192,26.08.2021,О начале процедуры замещения вакантного места в Общественной палате Пермского края пятого состава,Постановление №5484-21 от 2021-08-26,Постановление,01.17.   Общественные и религиозные объединения
1812,2-ПК,09.11.2016,"О внесении изменений в статью 6 Закона Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Подготовка аннотации - Вернер Мария Владимировна - 381593,Закон,01.17.   Общественные и религиозные объединения
1813,309,20.04.2017,О назначении члена Общественной палаты Пермского края от Законодательного Собрания Пермского края,Постановление №3023-17 от 2017-04-17,Постановление,01.17.   Общественные и религиозные объединения
1814,2228,18.02.2016,"О поддержке проектов федеральных законов № 984349-6 ""Об общих принципах организации и деятельности общественных палат субъектов Российской Федерации"" и № 984351-6 ""О внесении изменения в статью 26.3 Федерального закона ""Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации""",Постановление №1184-16 от 2016-02-15,Постановление,01.17.   Общественные и религиозные объединения
1815,169,15.12.2016,О назначении членов Общественной палаты Пермского края от Законодательного Собрания Пермского края,Постановление №9580-16 от 2016-12-05,Постановление,01.17.   Общественные и религиозные объединения
1816,286-ПК,01.11.2018,"О внесении изменений в Закон Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Закон 5635-18 от 2018-08-01,Закон,01.17.   Общественные и религиозные объединения
1817,362-ПК,04.04.2019,"О внесении изменений в Закон Пермского края ""Об Общественной палате Пермского края""",Подготовка аннотации - Политова Ольга Борисовна - 599077,Закон,01.17.   Общественные и религиозные объединения
1818,363-ПК,04.04.2019,"О внесении изменений в Закон Пермского края ""Об общественном (гражданском) контроле в Пермском крае""",Подготовка аннотации - Вернер Мария Владимировна - 599234,Закон,01.17.   Общественные и религиозные объединения
1819,612-ПК,05.03.2021,"О внесении изменения в статью 6 Закона Пермского края ""Об Общественной палате Пермского края""",Подготовка аннотации - Микурова Елена Владимировна - 756770,Закон,01.17.   Общественные и религиозные объединения
1820,610-ПК,05.03.2021,"О внесении изменения в статью 6 Закона Пермского края ""О государственной поддержке социально ориентированных некоммерческих организаций в Пермском крае""",Закон 6982-20 от 2020-12-28,Закон,01.17.   Общественные и религиозные объединения
1821,1951,21.01.2021,О начале процедуры замещения вакантного места в Общественной палате Пермского края пятого состава,Постановление №197-21 от 2021-01-13,Постановление,01.17.   Общественные и религиозные объединения
1822,648-ПК,30.04.2021,"О внесении изменения в часть 2 статьи  22.1 Закона Пермского края ""Об Общественной палате Пермского края""",Закон 2278-21 от 2021-04-06,Закон,01.17.   Общественные и религиозные объединения
1823,41-ПК,02.02.2022,"О внесении изменения в часть 2 статьи 4 Закона Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""",,Закон,08. Финансы
1824,1198,20.03.2014,Об утверждении отчета о деятельности Контрольно-счетной палаты Пермского края в 2013 году,Постановление №1224-14 от 2014-02-28,Постановление,08. Финансы
1825,1647,22.01.2015,"О заслушивании информации Правительства Пермского края ""Об исполнении пункта 1 постановления Законодательного Собрания Пермского края от 11.12.2014 № 1609 ""О мерах по управлению акциями, долями (вкладами) Пермского края в уставных капиталах хозяйствующих субъектов (обществ), в которых доля Пермского края составляет более 50 процентов""",Постановление №405-15 от 2015-01-21,Постановление,08. Финансы
1826,1709,19.03.2015,Об утверждении отчета о деятельности Контрольно-счётной палаты Пермского края в 2014 году,Постановление №1255-15 от 2015-02-18,Постановление,08. Финансы
1827,1867,25.06.2015,"Об итогах проведения выездного заседания депутатов комитета Законодательного Собрания Пермского края по бюджету в муниципальном образовании ""Городской округ - город Кудымкар""",Постановление №4511-15 от 2015-05-27,Постановление,08. Финансы
1828,2032,22.10.2015,О поручении Контрольно-счетной палате Пермского края,Постановление №7821-15 от 2015-09-29,Постановление,08. Финансы
1829,495-ПК,09.12.2019,"О внесении изменений в Закон Пермского края ""О порядке использования средств бюджета Пермского края для осуществления полномочий Российской Федерации в области охоты и сохранения охотничьих ресурсов, переданных органам государственной власти Пермского края""",Закон 8062-19 от 2019-10-28,Закон,11.06.   Охрана и использование животного мира
1830,669-ПК,29.06.2016,"О внесении изменения в Закон Пермского края ""О порядке  использования средств бюджета Пермского края для осуществления полномочий Российской Федерации в области охоты и сохранения охотничьих ресурсов, переданных органам государственной власти Пермского края""",Закон 1510-16 от 2016-02-25,Закон,11.06.   Охрана и использование животного мира
1831,503-ПК,10.02.2020,"О внесении изменений в Закон Пермского края ""О передаче органам местного самоуправления Пермского края отдельных государственных полномочий по организации проведения мероприятий по предупреждению и ликвидации болезней животных, их лечению, отлову и содержанию безнадзорных животных, защите населения от болезней, общих для человека и животных""",Подготовка аннотации - Щербинина Екатерина Владимировна - 690113,Закон,11.06.   Охрана и использование животного мира
1832,622-ПК,02.03.2021,"О внесении изменений в статью 3 Закона Пермского края ""О реализации отдельных полномочий Пермского края в области охоты и сохранения охотничьих ресурсов Пермского края""",Закон 6797-20 от 2020-12-16,Закон,11.06.   Охрана и использование животного мира
1833,,,Об административно-территориальных изменениях в Пермском крае,,Закон,01.04.04.     Административно-территориальное деление
1834,95-ПК,06.07.2022,Об административно-территориальных изменениях в Пермском крае,,Закон,01.04.04.     Административно-территориальное деление
1835,94-ПК,06.07.2022,Об административно-территориальных изменениях в Пермском крае,,Закон,01.04.04.     Административно-территориальное деление
1836,80-ПК,07.06.2022,Об административно-территориальных изменениях в Пермском крае,Закон 5573-21 от 2021-08-30,Закон,01.04.04.     Административно-территориальное деление
1837,70-ПК,11.05.2022,Об административно-территориальных изменениях в Пермском крае,,Закон,01.04.04.     Административно-территориальное деление
1838,69-ПК,11.05.2022,"О внесении изменений в статью 13 Закона Пермской области ""Об административно-территориальном устройстве Пермского края""",,Закон,01.04.04.     Административно-территориальное деление
1839,161,20.01.2022,"О внесении изменения в постановление Законодательного Собрания Пермского края от 28.10.2021 № 62 ""О проекте закона Пермского края ""Об административно-территориальных изменениях в Пермском крае"" (первое чтение)""",,Постановление,01.04.04.     Административно-территориальное деление
1840,54-ПК,02.03.2022,Об административно-территориальных изменениях в Пермском крае,Закон 8304-21 от 2021-11-29,Закон,01.04.04.     Административно-территориальное деление
1841,40-ПК,27.01.2022,Об образовании нового муниципального образования Кудымкарский муниципальный округ Пермского края,,Закон,01.04.04.     Административно-территориальное деление
1842,44-ПК,29.12.2016,"О признании утратившими силу отдельных положений Закона Пермской области ""Об утверждении границ и о наделении статусом муниципального образования ""Город Пермь"" Пермского края""",Закон 7637-16 от 2016-10-11,Закон,01.04.04.     Административно-территориальное деление
1843,410-ПК,02.07.2019,О переименовании географического объекта на территории Кудымкарского района Пермского края,Закон 2443-19 от 2019-03-29,Закон,01.04.04.     Административно-территориальное деление
1844,133-ПК,10.10.2017,О внесении изменений в отдельные законы Пермской области и Коми-Пермяцкого автономного округа,Закон 4878-17 от 2017-06-15,Закон,01.04.04.     Административно-территориальное деление
1845,189-ПК,09.02.2018,"О преобразовании Кизеловского городского поселения в городской округ ""Город Кизел""",Закон 127-18 от 2018-01-11,Закон,01.04.04.     Административно-территориальное деление
1846,397-ПК,27.05.2019,Об образовании нового муниципального образования Ординский муниципальный округ Пермского края,Закон 3672-19 от 2019-05-17,Закон,01.04.04.     Административно-территориальное деление
1847,132-ПК,10.10.2017,О переименовании географического объекта на территории Очерского района Пермского края,Закон 4913-17 от 2017-06-13,Закон,01.04.04.     Административно-территориальное деление
1848,427-ПК,20.06.2019,Об образовании нового муниципального образования Юсьвинский муниципальный округ Пермского края,Закон 4354-19 от 2019-06-10,Закон,01.04.04.     Административно-территориальное деление
1849,29-ПК,08.12.2021,Об административно-территориальных изменениях в Пермском крае,Закон 6040-21 от 2021-09-28,Закон,01.04.04.     Административно-территориальное деление
1850,579-ПК,05.11.2020,О внесении изменений в отдельные законы Пермской области и Пермского края,Закон 2668-20 от 2020-05-13,Закон,01.04.04.     Административно-территориальное деление
